School Name,School Level,School ID_x,State School ID,Zip Code,Total Enrollment,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Students with Disabilities,Limited English Proficiency,DataAsOf,American Indian or Alaska Native Count,Asian Count,Black or African American Count,Hispanic/Latino Count,Native Hawaiian or Other Pacific Islander Count,White Count,Male Count,Female Count,Economically Disadvantaged Count,Students with Disabilities Count,Limited English Proficiency Count,ach_score,lg_score,lg_grade,Total Funding Per Pupil,Federal Per Pupil,State and Local Per Pupil,Percentage Experienced Teachers,Student-Educator Ratio,ADDRESS,CITY,STATE,ZIP
A. Z. Kelley Elementary,Elementary School,496,1,37013,707,,6%,18%,19%,20%,18%,21%,,,,,,,,,0.005,0.15,0.37,0.27,0.005,0.2,0.53,0.47,0.33,0.11,0.44,1/17/23,3.5350000000000033,106.05,261.59,190.89000000000001,3.5350000000000033,141.4,374.71000000000004,332.28999999999996,233.31,77.77,311.08,2,3.3,C,15488.45,2209.14,13279.310000000001,0.8889,12,5834 Pettus RD,Antioch,TN,37013
Alex Green Elementary,Elementary School,375,5,37189,439,< 10,7%,18%,17%,13%,14%,17%,12%,,,,,,,,0,0,0.79,0.11,0,0.1,0.51,0.49,0.69,0.11,0.17,1/17/23,0,0,346.81,48.29,0,43.900000000000006,223.89000000000001,215.10999999999999,302.90999999999997,48.29,74.63000000000001,1,2.1,D,17694.170000000002,3115.04,14579.130000000001,0.8438,12,3921  Lloyd  RD,Whites Creek,TN,37189
Amqui Elementary,Elementary School,105,10,37115,514,< 10,6%,15%,18%,19%,14%,15%,12%,,,,,,,,0.003333333,0.003333333,0.44,0.44,0.003333333,0.11,0.49,0.51,0.53,0.1,0.33,1/17/23,1.7133333333333347,1.7133333333333347,226.16,226.16,1.7133333333333347,56.54,251.85999999999999,262.14,272.42,51.400000000000006,169.62,1,2.4,D,17578.64,3442.0099999999998,14136.630000000001,0.6667000000000001,11,319 Anderson LN,Madison,TN,37115
Andrew Jackson Elementary,Elementary School,460,15,37138,473,< 10,7%,19%,18%,13%,16%,13%,14%,,,,,,,,0.020000000000000018,0.020000000000000018,0.32,0.15,0.020000000000000018,0.47,0.56,0.44,0.22,0.16,0.09,1/17/23,9.460000000000008,9.460000000000008,151.36,70.95,9.460000000000008,222.30999999999997,264.88000000000005,208.12,104.06,75.68,42.57,4,3.5,B,17212.39,2190.39,15022,0.9737,12,110  Shute  LN,Old Hickory,TN,37138
Antioch High School,High School,110,20,37013,2129,,,,,,,,,,,< 10,28%,27%,27%,18%,0.013333333333333308,0.013333333333333308,0.33,0.5,0.013333333333333308,0.13,0.52,0.48,0.29,0.11,0.37,1/17/23,28.386666666666613,28.386666666666613,702.57,1064.5,28.386666666666613,276.77,1107.08,1021.92,617.41,234.19,787.73,1,1.1,F,13364.8,1739.97,11624.83,0.7879,16,1900  Hobson  PIKE,Antioch,TN,37013
Antioch Middle,Middle School,111,23,37013,659,,,,,,,,,33%,33%,34%,,,,,0.005,0.05,0.36,0.47,0.005,0.11,0.55,0.45,0.4,0.13,0.46,1/17/23,3.2950000000000395,32.95,237.23999999999998,309.72999999999996,3.2950000000000395,72.49,362.45000000000005,296.55,263.6,85.67,303.14,1,1.4,F,15826.169999999998,2621.2999999999997,13204.869999999999,0.7059000000000001,12,5050 Blue Hole RD,Antioch,TN,37013
Apollo Middle,Middle School,577,25,37013,712,,,,,,,,27%,25%,23%,25%,,,,,0.013333333333333345,0.013333333333333345,0.28,0.58,0.013333333333333345,0.1,0.49,0.51,0.4,0.12,0.5,1/17/23,9.493333333333341,9.493333333333341,199.36,412.96,9.493333333333341,71.2,348.88,363.12,284.8,85.44,356,1,1.2,F,14880.12,1885.8799999999999,12994.240000000002,0.8162999999999999,14,631  Richards  RD,Antioch,TN,37013
Aventura Community School,Charter,179,8015,37211,106,,,74%,26%,,,,,,,,,,,,0.013333333333333345,0.013333333333333345,0.15,0.59,0.013333333333333345,0.22,0.53,0.47,0.17,0.12,0.37,1/17/23,1.4133333333333344,1.4133333333333344,15.899999999999999,62.54,1.4133333333333344,23.32,56.18,49.82,18.02,12.719999999999999,39.22,,,,,,,,,3010 Tuggle Ave,Nashville,TN,37211
Bellevue Middle,Middle School,130,40,37221,503,,,,,,,,27%,26%,22%,25%,,,,,0,0.08,0.28,0.16,0,0.48,0.55,0.45,0.24,0.18,0.12,1/17/23,0,40.24,140.84,80.48,0,241.44,276.65000000000003,226.35,120.72,90.53999999999999,60.36,2.7,2.8,C,14665.69,2141.8999999999996,12523.79,0.6111,14,655  Colice  Jeanne RD,Nashville,TN,37221
Bellshire Elementary,Elementary School,135,45,37207,399,< 10,10%,18%,16%,13%,14%,14%,13%,,,,,,,,0.003333333,0.003333333,0.8,0.14,0.003333333,0.05,0.54,0.46,0.66,0.16,0.11,1/17/23,1.3299999999999863,1.3299999999999863,319.20000000000005,55.86000000000001,1.3299999999999863,19.950000000000003,215.46,183.54000000000002,263.34000000000003,63.84,43.89,1,2,D,18871.88,3664.66,15207.220000000001,0.8,12,1128 Bell Grimes LN,Nashville,TN,37207
